# gate window = 16 us
# Vin[V]  count
0.400  20
0.500  82
0.600  175
0.700  282
0.800  394
0.900  505
1.000  615
1.100  724
1.200  831
1.300  921
1.400  953
1.500  959
1.600  960
1.700  961
1.800  961
