,fosc,name,type,time,OK
0,31.177699999999998,LayGtKttmmTtVt,Lay,Wed Sep  9 15:42:05 2026,True
1,32.28059,1,,Wed Sep  9 15:42:14 2026,True
2,32.73319,2,,Wed Sep  9 15:42:21 2026,True
3,31.99382,3,,Wed Sep  9 15:42:29 2026,True
4,33.359159999999996,4,,Wed Sep  9 15:42:36 2026,True
5,30.02864,5,,Wed Sep  9 15:42:44 2026,True
6,26.12448,6,,Wed Sep  9 15:42:52 2026,True
7,32.98797,7,,Wed Sep  9 15:42:59 2026,True
8,32.522819999999996,8,,Wed Sep  9 15:43:07 2026,True
9,32.86759,9,,Wed Sep  9 15:43:14 2026,True
10,31.19148,10,,Wed Sep  9 15:43:21 2026,True
11,33.36147,11,,Wed Sep  9 15:43:28 2026,True
12,25.696379999999998,12,,Wed Sep  9 15:43:35 2026,True
13,36.01909,13,,Wed Sep  9 15:43:43 2026,True
14,27.58521,14,,Wed Sep  9 15:43:50 2026,True
15,27.51729,15,,Wed Sep  9 15:43:58 2026,True
16,28.087619999999998,16,,Wed Sep  9 15:44:06 2026,True
17,32.32535,17,,Wed Sep  9 15:44:13 2026,True
18,28.95082,18,,Wed Sep  9 15:44:21 2026,True
19,33.68646,19,,Wed Sep  9 15:44:29 2026,True
20,34.89968,20,,Wed Sep  9 15:44:36 2026,True
21,33.42386,21,,Wed Sep  9 15:44:44 2026,True
22,25.430529999999997,22,,Wed Sep  9 15:44:52 2026,True
23,24.04983,23,,Wed Sep  9 15:45:00 2026,True
24,35.61779,24,,Wed Sep  9 15:45:09 2026,True
25,31.220959999999998,25,,Wed Sep  9 15:45:16 2026,True
26,30.040399999999998,26,,Wed Sep  9 15:45:24 2026,True
27,35.571259999999995,27,,Wed Sep  9 15:45:32 2026,True
28,29.592689999999997,28,,Wed Sep  9 15:45:39 2026,True
29,38.92424,29,,Wed Sep  9 15:45:47 2026,True
